id_profesion,nombre_profesion
1,Abogado
2,Académico
3,Adjunto
4,Administrador
5,Administrativo
6,Agrónomo
7,Alergólogo
8,Alergista
9,Almacenero
10,Almacenista
11,Anatomista
12,Anestesiólogo
13,Anestesista
14,Antologista
15,Antropólogo
16,Arabista
17,Archivero
18,Arqueólogo
19,Arquitecto
20,Asesor
21,Asistente
22,Astrofísico
23,Astrólogo
24,Astrónomo
25,Atleta
26,ATS
27,Autor
28,Auxiliar
29,Avicultor
30,Autora
31,Auxiliar
32,Avicultora
33,Bacteriólogo
34,Bedel
35,Bibliógrafo
36,Bibliotecario
37,Biofísico
38,Biógrafo
39,Biólogo
40,Bioquímico
41,Botánico
42,Cancerólogo
43,Cardiólogo
44,Cartógrafo
45,Castrador
46,Catedrático
47,Cirujano
48,Citólogo
49,Climatólogo
50,Codirector
51,Comadrón
52,Consejero
53,Conserje
54,Conservador
55,Coordinador
56,Cosmógrafo
57,Cosmólogo
58,Criminalista
59,Cronólogo
60,Decano
61,Decorador
62,Defensor
63,Delegado
64,Delineante
65,Demógrafo
66,Dentista
67,Dermatólogo
68,Dibujante
69,Directivo
70,Director
71,Dirigente
72,Doctor
73,Documentalista
74,Ecólogo
75,Economista
76,Educador
77,Egiptólogo
78,Endocrinólogo
79,Enfermero
80,Enólogo
81,Entomólogo
82,Epidemiólogo
83,Especialista
84,Espeleólogo
85,Estadista
86,Estadístico
87,Etimólogo
88,Etimologista
89,Etnógrafo
90,Etnólogo
91,Etólogo
92,Examinador
93,Facultativo
94,Farmacéutico
95,Farmacólogo
96,Filólogo
97,Filósofo
98,Fiscal
99,Físico
100,Fisiólogo
101,Fisioterapeuta
102,Fonetista
103,Foníatra
104,Fonólogo
105,Forense
106,Fotógrafo
107,Funcionario
108,Gemólogo
109,Genetista
110,Geobotánica
111,Geodesta
112,Geofísico
113,Geógrafo
114,Geólogo
115,Geomántico
116,Hematólogo
117,Hepatólogo
118,Hidrogeólogo
119,Hidrógrafo
120,Hidrólogo
121,Higienista
122,Hispanista
123,Historiador
124,Homeópata
125,Informático
126,Ingeniero
127,Ingeniero técnico
128,Inmunólogo
129,Inspector
130,Interino
131,Interventor
132,Investigador
133,Jardinero
134,Jefe
135,Jueza/juez
136,Latinista
137,Lector
138,Letrado (abogado)
139,Lexicógrafo
140,Lexicólogo
141,Licenciado
142,Lingüista
143,Logopeda
144,Latinista
145,Maestro
146,Matemático
147,Matrón
148,Medico
149,Meteorólogo
150,Micólogo
151,Microbiológico
152,Microcirujano
153,Mimógrafo
154,Mineralogista
155,Monitor
156,Musicólogo
157,Naturópata
158,Nefrólogo
159,Neumólogo
160,Neuroanatomista
161,Neurobiólogo
162,Neurocirujano
163,Neuroembriólogo
164,Neurofisiólogo
165,Neurólogo
166,Nutrólogo
167,Oceanógrafo
168,Odontólogo
169,Oficial
170,Oficinista
171,Oftalmólogo
172,Oncólogo
173,Óptico
174,Optometrista
175,Ordenanza
176,Orientador
177,Ornitólogo
178,Ortopédico
179,Ortopedista
180,Osteólogo
181,Osteópata
182,Otorrinolaringólogo
183,Paleobiólogo
184,Paleobotánico
185,Paleógrafo
186,Paleólogo
187,Paleontólogo
188,Patólogo
189,Pedagogo
190,Pediatra
191,Pedicuro
192,Periodista
193,Perito
194,Ingeniero técnico
195,Piscicultor
196,Podólogo
197,Portero
198,Prehistoriador
199,Presidente
200,Proctólogo
201,Profesor
202,Programador
203,Protésico
204,Proveedor
205,Psicoanalista
206,Psicólogo
207,Psicofísico
208,Psicopedagogo
209,Psicoterapeuta
210,Psiquiatra
211,Publicista
212,Publicitario
213,Puericultor
214,Químico
215,Quiropráctico
216,Radioastrónomo
217,Radiofonista
218,Radiólogo
219,Radiotécnico
220,Radiotelefonista
221,Radiotelegrafista
222,Radioterapeuta
223,Rector
224,Sanitario
225,Secretario
226,Sexólogo
227,Sismólogo
228,Sociólogo
229,Subdelegado
230,Subdirector
231,Subsecretario
232,Técnico
233,Telefonista
234,Teólogo
235,Terapeuta
236,Tocoginecólogo
237,Tocólogo
238,Toxicólogo
239,Traductor
240,Transcriptor
241,Traumatólogo
242,Tutor
243,Urólogo
244,Veterinario
245,Vicedecano
246,Vicedirector
247,Vicegerente
248,Vicepresidente
249,Vicerrector
250,Vicesecretario
251,Virólogo
252,Viticultor
253,Vulcanólogo
254,Xilógrafo
255,Zoólogo
256,Zootécnico
